,States/UTs,Rural Number of hospitals,Rural hospitals Number of Beds,Urban Number of hospitals,Urban hospitals Number of Beds,As on,Total Number of Hospitals,Total hospitals Number of Beds
1,Andhra Pradesh,193,6480,65,16658,01.01.2017,258,23138
2,Arunachal Pradesh*,208,2136,10,268,31.12.2017,218,2404
3,Assam,1176,10944,50,6198,31.12.2017,1226,17142
4,Bihar,930,6083,103,5936,31.12.2016,1033,12019
5,Chhattisgarh,169,5070,45,4342,01.01.2016,214,9412
6,Goa*,17,1405,25,1608,31.12.2017,42,3013
7,Gujarat,364,11715,122,20565,31.12.2016,486,32280
8,Haryana*,609,6690,59,4550,31.12.2016,668,11240
9,Himachal Pradesh*,705,5665,96,6734,31.12.2017,801,12399
10,Jammu & Kashmir,56,7234,76,4417,30.12.2016,132,11651
11,Jharkhand,519,5842,36,4942,31.12.2015,555,10784
12,Karnataka*,2471,21072,374,49093,31.12.2017,2845,70165
13,Kerala,981,16865,299,21139,01.01.2017,1280,38004
14,Madhya Pradesh,334,10020,117,18819,01.01.2016,451,28839
15,Maharashtra,273,12398,438,39048,31.12.2015,711,51446
16,Manipur,23,730,7,697,01.01.2014,30,1427
17,Meghalaya*,143,1970,14,2487,31.12.2017,157,4457
18,Mizoram*,56,604,34,1393,31.12.2017,90,1997
19,Nagaland,21,630,15,1250,31.12.2015,36,1880
20,Odisha*,1655,6339,149,12180,31.12.2017,1804,18519
21,Punjab*,510,5805,172,12128,31.12.2017,682,17933
22,Rajasthan,602,21088,150,10760,31.12.2016,752,31848
23,Sikkim*,24,260,9,1300,31.12.2017,33,1560
24,Tamil Nadu*,692,40179,525,37353,31.12.2017,1217,77532
25,Telangana*,802,7668,61,13315,31.12.2017,863,20983
26,Tripura*,99,1140,56,3277,31.12.2017,155,4417
27,Uttar Pradesh*,4442,39104,193,37156,31.12.2017,4635,76260
28,Uttarakhand,410,3284,50,5228,31.12.2015,460,8512
29,West Bengal,1272,19684,294,58882,01.01.2015,1566,78566
30,Andaman & Nicobar Islands,27,575,3,500,31.12.2016,30,1075
31,Chandigarh,0,0,4,778,31.12.2016,4,778
32,Dadra & Nagar Haveli*,10,273,1,316,31.12.2017,11,589
33,Daman & Diu,5,240,0,0,31.12.2015,5,240
34,Delhi,0,0,109,24383,01.01.2015,109,24383
35,Lakshadweep,9,300,0,0,01.01.2016,9,300
36,Puducherry,3,96,11,3473,01.01.2016,14,3569
